,city_name,lat,long,temp,cloudiness,humidity,wind_speed,country_code,date_of_measurement
0,belle fourche,44.67,-103.85,60.01,1,28,25.28,US,1608667026
1,shieli,44.17,66.75,17.71,100,88,3.31,KZ,1608667188
2,east london,-33.02,27.91,70.43,0,77,4.05,ZA,1608667189
3,athabasca,54.72,-113.29,10.4,45,84,4.7,CA,1608667041
4,rikitea,-23.12,-134.97,76.89,1,72,11.07,PF,1608667189
5,busselton,-33.65,115.33,60.01,0,76,5.99,AU,1608667189
6,tuktoyaktuk,69.45,-133.04,-25.6,20,74,14.99,CA,1608667189
7,homer,59.64,-151.55,44.6,75,70,10.29,US,1608667042
8,cape town,-33.93,18.42,71.01,20,82,19.46,ZA,1608667189
9,butaritari,3.07,172.79,80.8,63,80,17.27,KI,1608667189
10,qaanaaq,77.48,-69.36,1.09,5,77,5.03,GL,1608667189
11,albany,42.6,-73.97,39.99,98,51,1.01,US,1608667138
12,mataura,-46.19,168.86,55.99,100,97,3.0,NZ,1608667189
13,poum,-20.23,164.02,78.76,0,78,11.21,NC,1608667189
14,valley city,46.92,-98.0,35.6,1,64,10.29,US,1608667052
15,pontes e lacerda,-15.23,-59.34,90.99,98,49,3.85,BR,1608667189
16,lang son,21.83,106.73,57.9,95,52,1.01,VN,1608667189
17,kasongo-lunda,-6.47,16.82,71.42,100,89,1.05,CD,1608667189
18,oranjemund,-28.55,16.43,65.52,99,85,9.64,NA,1608667189
19,sur,22.57,59.53,71.69,0,64,10.27,OM,1608667189
20,atuona,-9.8,-139.03,78.46,12,81,16.98,PF,1608667189
21,chokurdakh,70.63,147.92,-18.24,100,88,6.2,RU,1608667190
22,bilibino,68.05,166.44,-30.89,100,81,2.1,RU,1608667190
23,zeya,53.75,127.27,-8.9,0,84,1.21,RU,1608667190
24,solwezi,-12.17,26.39,64.15,100,96,2.46,ZM,1608667190
25,vaini,-21.2,-175.2,78.8,75,94,3.36,TO,1608667190
26,cabo san lucas,22.89,-109.91,77.0,40,73,9.17,MX,1608667190
27,luderitz,-26.65,15.16,64.4,21,88,13.87,NA,1608667190
28,bredasdorp,-34.53,20.04,69.8,100,77,6.93,ZA,1608667190
29,kieta,-6.22,155.63,79.92,96,76,2.42,PG,1608667190
30,punta arenas,-53.15,-70.92,57.2,40,28,26.4,CL,1608667012
31,yerkoy,39.64,34.47,34.2,0,84,1.25,TR,1608667190
32,micco,27.88,-80.5,70.0,92,59,10.76,US,1608667190
33,avarua,-21.21,-159.78,78.8,83,74,6.93,CK,1608667045
34,henties bay,-22.12,14.28,66.99,79,88,1.01,NA,1608667190
35,gizo,-8.1,156.84,84.56,96,63,3.13,SB,1608667190
36,baruun-urt,46.68,113.28,8.37,100,94,10.07,MN,1608667190
37,batagay-alyta,67.8,130.41,-34.87,22,81,0.81,RU,1608667190
38,saint-philippe,-21.36,55.77,77.0,0,65,5.82,RE,1608667191
39,axim,4.87,-2.24,79.27,8,84,7.85,GH,1608667191
40,itarema,-2.92,-39.92,82.33,48,69,17.96,BR,1608667191
41,carnarvon,-24.87,113.63,75.2,0,94,5.82,AU,1608667191
42,hermanus,-34.42,19.23,70.0,96,84,6.6,ZA,1608667191
43,hithadhoo,-0.6,73.08,81.9,100,80,15.61,MV,1608667191
44,barrow,71.29,-156.79,-14.8,1,68,28.86,US,1608667191
45,phan thiet,10.93,108.1,72.73,100,89,1.28,VN,1608667191
46,hobart,-42.88,147.33,57.99,40,93,4.32,AU,1608667191
47,ribeira grande,38.52,-28.7,55.4,40,62,9.17,PT,1608667191
48,pachperwa,27.52,82.65,59.05,98,59,3.2,IN,1608667191
49,tuatapere,-46.13,167.68,55.99,100,97,3.0,NZ,1608667191
50,sakleshpur,12.97,75.78,62.64,76,78,4.32,IN,1608667191
51,puerto ayora,-0.74,-90.35,80.6,40,61,17.22,EC,1608667191
52,iqaluit,63.75,-68.51,5.0,75,60,9.17,CA,1608667191
53,anchorage,61.22,-149.9,39.2,90,74,6.93,US,1608666960
54,victoria,22.29,114.16,64.99,90,82,1.01,HK,1608666953
55,mbini,1.57,9.61,82.4,20,88,5.82,GQ,1608667192
56,souillac,-20.52,57.52,77.0,40,88,13.87,MU,1608667192
57,new norfolk,-42.78,147.06,57.99,10,68,1.99,AU,1608667192
58,eydhafushi,5.1,73.07,81.72,98,78,13.78,MV,1608667192
59,yellowknife,62.46,-114.35,-16.6,90,75,5.82,CA,1608667192
60,ushuaia,-54.8,-68.3,50.0,75,61,27.51,AR,1608667192
61,malakal,9.53,31.66,78.67,9,31,3.27,SS,1608667192
62,gerash,27.67,54.14,48.2,0,47,1.52,IR,1608667192
63,brokopondo,4.75,-55.17,81.77,66,82,9.08,SR,1608667192
64,olinda,-8.01,-34.86,80.6,40,61,9.17,BR,1608667192
65,novosokolniki,56.35,30.16,28.51,99,93,11.83,RU,1608667192
66,barra dos coqueiros,-10.91,-37.04,84.2,20,66,14.99,BR,1608667192
67,hilo,19.73,-155.09,78.01,1,69,5.82,US,1608667192
68,flin flon,54.77,-101.86,-7.6,90,76,5.82,CA,1608667192
69,san andres,12.58,-81.7,86.0,20,70,16.11,CO,1608667178
70,jamestown,42.1,-79.24,35.01,90,94,13.87,US,1608667117
71,fairbanks,64.84,-147.72,35.6,75,51,9.17,US,1608667021
72,ambilobe,-13.2,49.05,76.21,4,81,2.48,MG,1608667193
73,yeppoon,-23.13,150.73,78.8,90,69,8.05,AU,1608667193
74,cap-aux-meules,47.38,-61.86,33.8,100,97,34.45,CA,1608666902
75,chkalovskoye,44.84,133.04,13.77,30,94,3.56,RU,1608667193
76,norman wells,65.28,-126.83,-18.4,20,75,8.05,CA,1608667193
77,portland,45.52,-122.68,46.99,80,79,1.01,US,1608666792
78,tasiilaq,65.61,-37.64,17.6,40,57,6.93,GL,1608667193
79,tommot,58.96,126.29,-18.78,100,85,1.16,RU,1608667193
80,manokwari,-0.87,134.08,79.56,93,74,5.03,ID,1608667193
81,phalaborwa,-23.94,31.14,82.4,100,78,1.12,ZA,1608667193
82,georgetown,5.41,100.34,80.01,20,88,2.24,MY,1608667140
83,bambanglipuro,-7.95,110.28,78.03,69,79,3.15,ID,1608667193
84,port alfred,-33.59,26.89,69.01,0,94,1.99,ZA,1608667193
85,geraldton,-28.77,114.6,78.8,0,19,6.93,AU,1608667193
86,dikson,73.51,80.55,-26.99,0,83,10.54,RU,1608667193
87,pisco,-13.7,-76.22,75.2,0,69,10.29,PE,1608667193
88,garmisch-partenkirchen,47.49,11.1,48.0,40,100,2.24,DE,1608667194
89,sabha,27.04,14.43,61.2,80,48,19.98,LY,1608667194
90,sao jose da coroa grande,-8.9,-35.15,79.43,93,75,11.43,BR,1608667194
91,beeville,28.4,-97.75,75.2,90,60,13.87,US,1608667194
92,tiebissou,7.16,-5.23,78.8,20,88,2.84,CI,1608667194
93,klaksvik,62.23,-6.59,37.4,87,74,17.22,FO,1608667194
94,ilulissat,69.22,-51.1,26.6,75,73,21.92,GL,1608667194
95,tiksi,71.69,128.87,-18.24,100,89,4.76,RU,1608667194
96,alofi,-19.06,-169.92,80.6,100,83,3.36,NU,1608667194
97,lagunas,-5.23,-75.68,80.92,77,90,3.96,PE,1608667194
98,provideniya,64.38,-173.3,11.08,100,94,22.62,RU,1608667194
99,arraial do cabo,-22.97,-42.03,78.8,90,88,10.29,BR,1608667113
100,rudbar,30.15,62.6,48.6,0,50,4.41,AF,1608667194
101,roswell,34.02,-84.36,59.0,1,24,13.87,US,1608666962
102,kapaa,22.08,-159.32,73.0,75,83,6.93,US,1608667194
103,springbok,-29.66,17.89,56.52,55,90,9.15,ZA,1608667194
104,vila,42.03,-8.16,51.01,100,92,4.0,PT,1608667194
105,hami,42.8,93.45,14.59,1,84,4.03,CN,1608667194
106,lebu,-37.62,-73.65,60.48,0,70,22.91,CL,1608667194
107,hvide sande,56.0,8.13,45.0,2,79,16.24,DK,1608667194
108,jacareacanga,-6.22,-57.75,82.4,75,83,3.36,BR,1608667194
109,port lincoln,-34.73,135.87,55.98,23,72,8.52,AU,1608667195
110,alice springs,-23.7,133.88,64.4,90,88,9.17,AU,1608667195
111,smithers,54.78,-127.17,19.4,75,85,3.36,CA,1608667195
112,bluff,-46.6,168.33,55.99,100,97,3.0,NZ,1608667195
113,egvekinot,66.32,-179.17,-13.86,100,88,22.7,RU,1608667195
114,maldonado,-34.67,-54.92,75.99,20,64,11.41,UY,1608667195
115,parry sound,45.35,-80.03,30.0,14,68,11.95,CA,1608667195
116,vangaindrano,-23.35,47.6,74.08,13,88,5.23,MG,1608667195
117,bambous virieux,-20.34,57.76,77.0,40,88,13.87,MU,1608667195
118,amatitan,20.83,-103.72,77.0,75,22,4.7,MX,1608667195
119,lompoc,34.64,-120.46,57.2,1,58,3.36,US,1608667195
120,kruisfontein,-34.0,24.73,73.0,15,86,1.99,ZA,1608667195
121,eureka,40.8,-124.16,48.99,1,81,5.82,US,1608667032
122,keti bandar,24.14,67.45,66.0,0,40,7.81,PK,1608667195
123,acarau,-2.89,-40.12,82.74,47,67,19.51,BR,1608667195
124,nikolskoye,59.7,30.79,32.0,90,97,11.18,RU,1608667195
125,riyadh,24.69,46.72,59.0,0,54,2.24,SA,1608667195
126,meulaboh,4.14,96.13,76.71,100,90,4.99,ID,1608667195
127,polis,35.04,32.43,53.6,40,87,6.93,CY,1608667196
128,kayerkan,69.35,87.76,-43.6,40,64,4.47,RU,1608667196
129,monterey,36.25,-121.25,53.01,0,11,3.98,US,1608667196
130,kalabo,-14.97,22.68,71.06,97,80,2.77,ZM,1608667196
131,kavaratti,10.57,72.64,81.54,76,68,5.19,IN,1608667196
132,luau,-10.71,22.22,66.49,99,94,3.91,AO,1608667196
133,puri,19.8,85.85,59.0,0,93,1.72,IN,1608667168
134,salalah,17.02,54.09,77.0,0,27,10.29,OM,1608667196
135,severo-kurilsk,50.68,156.12,21.47,93,89,26.66,RU,1608667196
136,oksfjord,70.24,22.35,37.4,0,69,13.87,NO,1608667196
137,acajutla,13.59,-89.83,84.2,20,48,3.36,SV,1608666995
138,te anau,-45.42,167.72,56.48,100,87,3.2,NZ,1608667196
139,esperance,-33.87,121.9,51.8,0,87,10.29,AU,1608667196
140,dire dawa,9.59,41.87,67.48,3,54,1.07,ET,1608667196
141,rebrikha,53.07,82.34,6.58,100,94,13.53,RU,1608667196
142,wanning,18.8,110.4,65.62,100,88,8.79,CN,1608667196
143,cloquet,46.72,-92.46,26.01,90,92,9.17,US,1608666924
144,castro,-24.79,-50.01,70.92,52,88,6.33,BR,1608667196
145,fortuna,40.6,-124.16,50.0,1,76,9.17,US,1608667197
146,sitka,57.05,-135.33,39.2,75,69,13.87,US,1608667075
